year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,paint_color,price
2014.0,17.0,58.0,2.0,0.0,1.0,112474.0,1.0,2.0,2.0,1.0,7998
2007.0,16.0,59.0,2.0,0.0,1.0,105290.0,1.0,3.0,1.0,1.0,7998
2012.0,17.0,60.0,2.0,0.0,1.0,122585.0,1.0,2.0,2.0,1.0,8498
2013.0,7.0,61.0,1.0,1.0,1.0,49767.0,1.0,1.0,3.0,4.0,21990
2017.0,18.0,62.0,2.0,0.0,1.0,80832.0,1.0,2.0,2.0,5.0,8998
2013.0,18.0,63.0,2.0,0.0,1.0,119704.0,1.0,2.0,2.0,4.0,7998
2013.0,18.0,64.0,2.0,0.0,1.0,76237.0,1.0,2.0,3.0,1.0,6998
2016.0,0.0,65.0,2.0,0.0,1.0,81511.0,1.0,2.0,2.0,5.0,9998
2014.0,14.0,50.0,2.0,0.0,1.0,99598.0,1.0,2.0,3.0,3.0,12998
2015.0,6.0,66.0,1.0,3.0,1.0,8685.0,1.0,1.0,3.0,8.0,27990
2014.0,1.0,46.0,1.0,1.0,1.0,46322.0,1.0,2.0,0.0,4.0,29990
2012.0,1.0,67.0,0.0,2.0,1.0,139333.0,1.0,2.0,2.0,6.0,8500
2013.0,5.0,47.0,2.0,0.0,1.0,55275.0,1.0,2.0,2.0,4.0,13450
1990.0,1.0,68.0,2.0,0.0,1.0,98255.0,1.0,2.0,1.0,2.0,7450
2014.0,16.0,57.0,2.0,0.0,1.0,92995.0,1.0,2.0,2.0,1.0,11450
2011.0,16.0,69.0,2.0,0.0,1.0,70332.0,1.0,2.0,3.0,4.0,14450
2018.0,6.0,70.0,1.0,3.0,1.0,6072.0,1.0,1.0,3.0,4.0,33590
1999.0,0.0,71.0,0.0,0.0,1.0,52000.0,1.0,2.0,0.0,0.0,11937
2015.0,5.0,72.0,0.0,0.0,1.0,38532.0,1.0,2.0,0.0,5.0,23995
2010.0,4.0,73.0,0.0,2.0,1.0,151269.0,1.0,2.0,2.0,5.0,3400
2016.0,11.0,74.0,3.0,2.0,1.0,18823.0,1.0,2.0,1.0,5.0,24999
2016.0,6.0,75.0,1.0,3.0,1.0,13036.0,1.0,2.0,3.0,5.0,41900
2005.0,13.0,76.0,1.0,1.0,2.0,145970.0,1.0,2.0,3.0,5.0,23900
2008.0,1.0,77.0,1.0,1.0,1.0,239485.0,1.0,2.0,0.0,5.0,8350
2012.0,1.0,78.0,1.0,1.0,2.0,177450.0,1.0,2.0,1.0,5.0,18900
2016.0,1.0,79.0,2.0,3.0,1.0,90974.0,1.0,2.0,2.0,3.0,14916
2014.0,1.0,80.0,3.0,1.0,1.0,4491.0,1.0,2.0,1.0,5.0,21900
2018.0,1.0,81.0,3.0,1.0,2.0,1373.0,1.0,2.0,3.0,0.0,65879
2016.0,4.0,82.0,2.0,1.0,1.0,115071.0,1.0,2.0,1.0,5.0,22900
2008.0,8.0,45.0,0.0,3.0,1.0,180211.0,1.0,2.0,2.0,3.0,3900
2006.0,3.0,83.0,2.0,3.0,1.0,150000.0,1.0,2.0,1.0,2.0,4900
1961.0,4.0,84.0,0.0,0.0,1.0,88000.0,3.0,3.0,0.0,0.0,4
2014.0,5.0,85.0,0.0,1.0,1.0,55000.0,1.0,2.0,1.0,3.0,28900
2009.0,8.0,86.0,2.0,2.0,1.0,161481.0,1.0,2.0,2.0,4.0,7995
2015.0,1.0,87.0,1.0,1.0,1.0,85747.0,1.0,2.0,3.0,1.0,34990
2017.0,18.0,88.0,2.0,1.0,1.0,115528.0,1.0,2.0,2.0,6.0,11989
2012.0,4.0,20.0,0.0,3.0,1.0,122232.0,1.0,2.0,3.0,5.0,22990
2020.0,13.0,89.0,2.0,1.0,1.0,24305.0,1.0,2.0,2.0,5.0,63200
2016.0,4.0,55.0,1.0,3.0,3.0,8172.0,1.0,1.0,0.0,5.0,22990
2010.0,10.0,90.0,1.0,3.0,1.0,82913.0,1.0,1.0,1.0,5.0,14990
2019.0,4.0,91.0,2.0,1.0,1.0,70690.0,1.0,2.0,3.0,5.0,27141
2016.0,1.0,92.0,0.0,0.0,1.0,22331.0,1.0,2.0,3.0,2.0,39500
2019.0,4.0,20.0,0.0,0.0,1.0,41323.0,1.0,2.0,1.0,4.0,30900
2020.0,5.0,93.0,0.0,0.0,1.0,40022.0,1.0,2.0,2.0,5.0,17900
2019.0,5.0,93.0,0.0,0.0,1.0,40283.0,1.0,2.0,2.0,3.0,15998
2012.0,5.0,47.0,0.0,0.0,1.0,97927.0,1.0,2.0,2.0,3.0,9477
2018.0,9.0,94.0,0.0,0.0,1.0,22371.0,1.0,2.0,1.0,0.0,24977
2017.0,5.0,95.0,1.0,1.0,1.0,19725.0,1.0,2.0,0.0,5.0,39590
2015.0,18.0,96.0,2.0,1.0,1.0,70835.0,1.0,2.0,1.0,5.0,20988
2020.0,18.0,97.0,1.0,3.0,1.0,2163.0,1.0,2.0,1.0,5.0,28590
2012.0,19.0,98.0,1.0,0.0,2.0,91238.0,1.0,2.0,2.0,5.0,10990
2016.0,18.0,99.0,0.0,0.0,1.0,85000.0,1.0,2.0,0.0,0.0,10500
2003.0,5.0,93.0,0.0,2.0,1.0,130000.0,1.0,2.0,2.0,3.0,1000
2018.0,1.0,100.0,1.0,1.0,1.0,31000.0,1.0,2.0,3.0,5.0,32250
1999.0,4.0,101.0,0.0,0.0,1.0,194000.0,1.0,2.0,0.0,0.0,5200
1996.0,5.0,102.0,0.0,3.0,1.0,184577.0,1.0,2.0,2.0,5.0,2800
2016.0,9.0,103.0,0.0,0.0,1.0,32753.0,1.0,2.0,0.0,0.0,27500
2014.0,20.0,104.0,3.0,2.0,1.0,53400.0,1.0,2.0,2.0,3.0,7200
2011.0,13.0,44.0,2.0,2.0,1.0,180000.0,1.0,2.0,1.0,3.0,7500
1997.0,21.0,105.0,0.0,1.0,1.0,116895.0,1.0,2.0,1.0,5.0,3950
2010.0,18.0,106.0,2.0,2.0,1.0,163000.0,1.0,2.0,0.0,1.0,5000
2015.0,4.0,107.0,1.0,4.0,1.0,159808.0,1.0,2.0,3.0,5.0,34990
2008.0,7.0,108.0,1.0,3.0,2.0,209854.0,1.0,2.0,1.0,5.0,15990
2016.0,7.0,109.0,1.0,3.0,2.0,35182.0,1.0,2.0,3.0,4.0,52990
2012.0,7.0,109.0,1.0,3.0,2.0,65672.0,1.0,2.0,3.0,2.0,46990
2016.0,22.0,110.0,1.0,2.0,2.0,33474.0,1.0,2.0,1.0,5.0,39990
2014.0,0.0,111.0,1.0,3.0,2.0,106834.0,1.0,2.0,1.0,5.0,55990
2009.0,0.0,112.0,1.0,3.0,2.0,59814.0,1.0,2.0,1.0,5.0,21990
2013.0,1.0,78.0,1.0,1.0,1.0,103725.0,1.0,2.0,3.0,5.0,27990
2016.0,0.0,113.0,1.0,1.0,1.0,107649.0,1.0,2.0,1.0,5.0,27990
2016.0,0.0,113.0,1.0,1.0,1.0,115129.0,1.0,2.0,1.0,5.0,26990
2012.0,7.0,109.0,1.0,3.0,2.0,109523.0,1.0,2.0,3.0,5.0,30990
2012.0,1.0,114.0,1.0,1.0,1.0,136363.0,1.0,2.0,1.0,5.0,24990
2014.0,0.0,115.0,1.0,1.0,1.0,67553.0,1.0,2.0,1.0,5.0,28990
2015.0,1.0,114.0,1.0,1.0,1.0,99342.0,1.0,2.0,1.0,5.0,20990
2006.0,4.0,116.0,1.0,3.0,2.0,51806.0,1.0,2.0,1.0,5.0,16490
2016.0,0.0,113.0,1.0,1.0,1.0,97126.0,1.0,2.0,1.0,5.0,27990
2000.0,0.0,117.0,1.0,3.0,2.0,114702.0,1.0,3.0,1.0,5.0,9990
2015.0,0.0,118.0,1.0,1.0,1.0,78744.0,1.0,2.0,1.0,5.0,29990
2007.0,1.0,119.0,1.0,1.0,1.0,133355.0,1.0,2.0,1.0,5.0,20990
2014.0,0.0,120.0,1.0,1.0,1.0,47006.0,1.0,2.0,1.0,5.0,27990
2012.0,0.0,121.0,1.0,1.0,2.0,117550.0,1.0,2.0,1.0,5.0,27990
2006.0,1.0,122.0,1.0,1.0,1.0,104422.0,1.0,2.0,1.0,5.0,24990
2016.0,0.0,113.0,1.0,1.0,1.0,111407.0,1.0,2.0,1.0,5.0,26990
2011.0,4.0,107.0,1.0,1.0,2.0,147797.0,1.0,2.0,3.0,5.0,27990
2014.0,4.0,123.0,1.0,1.0,1.0,106913.0,1.0,2.0,1.0,5.0,17990
2014.0,4.0,107.0,1.0,1.0,2.0,39253.0,1.0,2.0,3.0,5.0,49990
2014.0,1.0,114.0,1.0,1.0,1.0,53765.0,1.0,2.0,1.0,5.0,24990
2007.0,1.0,124.0,1.0,1.0,1.0,51395.0,1.0,2.0,3.0,5.0,20990
2017.0,4.0,125.0,1.0,1.0,2.0,75741.0,1.0,2.0,1.0,5.0,40990
2013.0,0.0,115.0,1.0,3.0,2.0,65902.0,1.0,2.0,1.0,5.0,24990
2014.0,0.0,115.0,1.0,1.0,1.0,96025.0,1.0,2.0,1.0,5.0,26990
2006.0,1.0,119.0,1.0,1.0,1.0,176894.0,1.0,2.0,1.0,5.0,16990
2008.0,4.0,126.0,2.0,1.0,1.0,174000.0,1.0,2.0,0.0,2.0,7500
2016.0,1.0,127.0,3.0,3.0,1.0,93158.0,1.0,2.0,1.0,4.0,21900
2018.0,18.0,128.0,2.0,2.0,1.0,69953.0,1.0,2.0,2.0,6.0,17900
1976.0,1.0,129.0,0.0,3.0,1.0,123000.0,3.0,2.0,1.0,9.0,800
2004.0,12.0,130.0,0.0,0.0,1.0,160000.0,1.0,2.0,0.0,0.0,5280
